Location,Label,Target,OldType,NewType,Outcome,TypeCategory,Notes
app/app.js#L-1,LOCAL,res,ANY,Response,INVALID,UDT,_NOTES_
app/app.js#L100,METHOD_PARAMETER_IN,time,ANY,__ecma.Number,Correct,BUILTIN,_NOTES_
app/app.js#L111,METHOD_PARAMETER_IN,req,ANY,Request,Correct,UDT,https://github.com/DefinitelyTyped/DefinitelyTyped/blob/master/types/node/http.d.ts
app/app.js#L111,METHOD_PARAMETER_IN,res,ANY,Response,Correct,UDT,https://github.com/DefinitelyTyped/DefinitelyTyped/blob/master/types/node/http.d.ts
app/app.js#L115,METHOD_PARAMETER_IN,chunk,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
app/app.js#L126,LOCAL,res,ANY,Response,Correct,UDT,https://github.com/DefinitelyTyped/DefinitelyTyped/blob/master/types/node/http.d.ts
app/app.js#L179,METHOD_PARAMETER_IN,getResponse,ANY,Response,Incorrect,UDT,_NOTES_
app/app.js#L185,METHOD_PARAMETER_IN,chunk,ANY,__ecma.Array,Incorrect,BUILTIN,_NOTES_
app/app.js#L190,LOCAL,getResponse,ANY,Response,Incorrect,UDT,_NOTES_
app/app.js#L191,LOCAL,res,ANY,Response,Correct,UDT,https://github.com/DefinitelyTyped/DefinitelyTyped/blob/master/types/node/http.d.ts
app/app.js#L194,METHOD_PARAMETER_IN,error,ANY,__ecma.String,Incorrect,BUILTIN,_NOTES_
app/app.js#L196,LOCAL,res,ANY,Response,Correct,UDT,https://github.com/DefinitelyTyped/DefinitelyTyped/blob/master/types/node/http.d.ts
app/app.js#L24,METHOD_PARAMETER_IN,newBuildNumber,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
app/app.js#L86,METHOD_PARAMETER_IN,severity,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
app/app.js#L86,METHOD_PARAMETER_IN,entry,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
lambdas/getBuildValidationResults.js#L118,METHOD_PARAMETER_IN,err,ANY,__ecma.Error,Correct,BUILTIN,_NOTES_
lambdas/getBuildValidationResults.js#L118,METHOD_PARAMETER_IN,responseData,ANY,__ecma.Array,Correct,BUILTIN,"Could be object, but by its usages an array is also ok"
lambdas/getBuildValidationResults.js#L118,METHOD_PARAMETER_IN,xAxisLabels,ANY,__ecma.Array,Incorrect,BUILTIN,_NOTES_
lambdas/getBuildValidationResults.js#L152,METHOD_PARAMETER_IN,pipelineName,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
lambdas/getBuildValidationResults.js#L152,METHOD_PARAMETER_IN,comparisonName,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
lambdas/getBuildValidationResults.js#L152,METHOD_PARAMETER_IN,timespan,ANY,__ecma.String,Incorrect,BUILTIN,_NOTES_
lambdas/getBuildValidationResults.js#L157,METHOD_PARAMETER_IN,err,ANY,__ecma.Error,Correct,BUILTIN,_NOTES_
lambdas/getBuildValidationResults.js#L157,METHOD_PARAMETER_IN,resultMonspecs,ANY,__ecma.Array,Correct,BUILTIN,"Could be object, but by its usages an array is also ok"
lambdas/getBuildValidationResults.js#L165,LOCAL,monspec,ANY,__ecma.Array,Incorrect,BUILTIN,_NOTES_
lambdas/getBuildValidationResults.js#L171,LOCAL,configurations,utils/monspec:getAllConfigurationNames:<returnValue>,__ecma.Array,Correct,BUILTIN,_NOTES_
lambdas/getBuildValidationResults.js#L173,LOCAL,monspecConfig,ANY,__ecma.Array,Incorrect,BUILTIN,_NOTES_
lambdas/getBuildValidationResults.js#L217,METHOD_PARAMETER_IN,resultObject,ANY,ResultObject,Incorrect,UDT,Should be array
lambdas/getBuildValidationResults.js#L217,METHOD_PARAMETER_IN,entityConfigName,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
lambdas/getBuildValidationResults.js#L217,METHOD_PARAMETER_IN,aggregate,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
lambdas/getBuildValidationResults.js#L217,METHOD_PARAMETER_IN,validate,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
lambdas/getBuildValidationResults.js#L217,METHOD_PARAMETER_IN,metricName,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
lambdas/getBuildValidationResults.js#L217,METHOD_PARAMETER_IN,timestamp,ANY,__ecma.String,Incorrect,BUILTIN,_NOTES_
lambdas/getBuildValidationResults.js#L217,METHOD_PARAMETER_IN,sourceValue,ANY,__ecma.String,Incorrect,BUILTIN,_NOTES_
lambdas/getBuildValidationResults.js#L217,METHOD_PARAMETER_IN,sourceName,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
lambdas/getBuildValidationResults.js#L217,METHOD_PARAMETER_IN,compareValue,ANY,__ecma.String,Incorrect,BUILTIN,_NOTES_
lambdas/getBuildValidationResults.js#L217,METHOD_PARAMETER_IN,compareName,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
lambdas/getBuildValidationResults.js#L217,METHOD_PARAMETER_IN,boundaryValue,ANY,__ecma.String,Incorrect,BUILTIN,_NOTES_
lambdas/getBuildValidationResults.js#L217,METHOD_PARAMETER_IN,boundaryName,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
lambdas/getBuildValidationResults.js#L217,METHOD_PARAMETER_IN,violationValue,ANY,__ecma.String,Incorrect,BUILTIN,_NOTES_
lambdas/getBuildValidationResults.js#L217,METHOD_PARAMETER_IN,violationName,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
lambdas/getBuildValidationResults.js#L223,LOCAL,resultObjectEntryForMetricProperty,ANY,ResultObjectEntry,Incorrect,UDT,Array
lambdas/getBuildValidationResults.js#L237,METHOD_PARAMETER_IN,resultObject,ANY,__ecma.Array,Correct,BUILTIN,_NOTES_
lambdas/getBuildValidationResults.js#L237,METHOD_PARAMETER_IN,entityMetricName,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
lambdas/getBuildValidationResults.js#L59,METHOD_PARAMETER_IN,event,ANY,IListViewCommandSetExecuteEventParameters,Incorrect,UDT,_NOTES_
lambdas/getDynatraceBuildValidationResults.js#L-1,LOCAL,context,ANY,Context,INVALID,UDT,_NOTES_
lambdas/getDynatraceBuildValidationResults.js#L10,METHOD_PARAMETER_IN,event,ANY,__ecma.String,Incorrect,BUILTIN,_NOTES_
lambdas/getDynatraceBuildValidationResults.js#L10,METHOD_PARAMETER_IN,context,ANY,Context,Correct,UDT,_NOTES_
lambdas/getDynatraceBuildValidationResults.js#L23,METHOD_PARAMETER_IN,err,ANY,__ecma.Error,Correct,BUILTIN,_NOTES_
lambdas/getDynatraceBuildValidationResults.js#L28,LOCAL,outputArtifact,ANY,__ecma.String,Incorrect,BUILTIN,_NOTES_
lambdas/getDynatraceBuildValidationResults.js#L29,LOCAL,artifactCredentials,ANY,__ecma.Array,Incorrect,BUILTIN,_NOTES_
lambdas/getDynatraceBuildValidationResults.js#L30,METHOD_PARAMETER_IN,err,ANY,__ecma.Error,Correct,BUILTIN,_NOTES_
lambdas/getDynatraceBuildValidationResults.js#L30,METHOD_PARAMETER_IN,err,ANY,__ecma.String,Incorrect,BUILTIN,_NOTES_
lambdas/getDynatraceBuildValidationResults.js#L33,LOCAL,context,ANY,Context,Correct,UDT,_NOTES_
lambdas/getDynatraceBuildValidationResults.js#L39,METHOD_PARAMETER_IN,err,ANY,__ecma.Error,Correct,BUILTIN,_NOTES_
lambdas/getDynatraceBuildValidationResults.js#L39,METHOD_PARAMETER_IN,err,ANY,__ecma.String,Incorrect,BUILTIN,_NOTES_
lambdas/getDynatraceBuildValidationResults.js#L39,METHOD_PARAMETER_IN,err,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
lambdas/getDynatraceBuildValidationResults.js#L42,LOCAL,context,ANY,Context,Correct,UDT,_NOTES_
lambdas/handleDynatraceProblemNotification.js#L12,METHOD_PARAMETER_IN,event,ANY,__ecma.String,Incorrect,BUILTIN,_NOTES_
lambdas/handleDynatraceProblemNotification.js#L132,METHOD_PARAMETER_IN,mostRecentEvents,ANY,__ecma.String,Incorrect,BUILTIN,_NOTES_
lambdas/handleDynatraceProblemNotification.js#L150,METHOD_PARAMETER_IN,mostRecentEventsWithDeployData,ANY,__ecma.Array,Correct,BUILTIN,_NOTES_
lambdas/handleDynatraceProblemNotification.js#L150,METHOD_PARAMETER_IN,index,ANY,__ecma.Number,Correct,BUILTIN,_NOTES_
lambdas/handleDynatraceProblemNotification.js#L152,LOCAL,codedeploy,aws-sdk:<member>(CodeDeploy),CodeDeploy,Correct,UDT,_NOTES_
lambdas/handleDynatraceProblemNotification.js#L180,METHOD_PARAMETER_IN,err,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
lambdas/handleDynatraceProblemNotification.js#L191,LOCAL,mostRecentEventsWithDeployData,ANY,__ecma.Array,Correct,BUILTIN,_NOTES_
lambdas/handleDynatraceProblemNotification.js#L213,METHOD_PARAMETER_IN,mostRecentEvents,ANY,__ecma.Array,Correct,BUILTIN,_NOTES_
lambdas/handleDynatraceProblemNotification.js#L213,METHOD_PARAMETER_IN,index,ANY,__ecma.Number,Correct,BUILTIN,_NOTES_
lambdas/handleDynatraceProblemNotification.js#L214,LOCAL,codedeploy,aws-sdk:<member>(CodeDeploy),CodeDeploy,Correct,UDT,_NOTES_
lambdas/handleDynatraceProblemNotification.js#L245,METHOD_PARAMETER_IN,entities,ANY,__ecma.String,Incorrect,BUILTIN,_NOTES_
lambdas/handleDynatraceProblemNotification.js#L245,METHOD_PARAMETER_IN,index,ANY,__ecma.Number,Correct,BUILTIN,_NOTES_
lambdas/handleDynatraceProblemNotification.js#L245,METHOD_PARAMETER_IN,timespan,ANY,__ecma.Number,Correct,BUILTIN,_NOTES_
lambdas/handleDynatraceProblemNotification.js#L245,METHOD_PARAMETER_IN,resultEvents,ANY,__ecma.String,Incorrect,BUILTIN,_NOTES_
lambdas/handleDynatraceProblemNotification.js#L248,LOCAL,entity,ANY[]:<indexAccess>,__ecma.String,Correct,BUILTIN,_NOTES_
lambdas/handleDynatraceProblemNotification.js#L255,METHOD_PARAMETER_IN,statusCode,ANY,__ecma.Number,Correct,BUILTIN,_NOTES_
lambdas/handleDynatraceProblemNotification.js#L255,METHOD_PARAMETER_IN,data,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
lambdas/handleDynatraceProblemNotification.js#L258,LOCAL,events,ANY,__ecma.Array,Correct,BUILTIN,_NOTES_
lambdas/handleDynatraceProblemNotification.js#L95,METHOD_PARAMETER_IN,statusCode,ANY,__ecma.Number,Correct,BUILTIN,_NOTES_
lambdas/handleDynatraceProblemNotification.js#L95,METHOD_PARAMETER_IN,data,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
