Location,Label,Target,OldType,NewType,Outcome,TypeCategory,Notes
client/src/components/AdminBranch.js#L23,LOCAL,name,react:useState:<returnValue>:<indexAccess>,__ecma.String,Correct,BUILTIN,_NOTES_
client/src/components/AdminBranch.js#L23,LOCAL,house_no,react:useState:<returnValue>:<indexAccess>,__ecma.String,Correct,BUILTIN,_NOTES_
client/src/components/AdminBranch.js#L23,LOCAL,city,react:useState:<returnValue>:<indexAccess>,__ecma.String,Correct,BUILTIN,_NOTES_
client/src/components/AdminBranch.js#L23,LOCAL,zip_code,react:useState:<returnValue>:<indexAccess>,__ecma.String,Correct,BUILTIN,_NOTES_
client/src/components/AdminBranch.js#L4,LOCAL,AllBranch,react:useState:<returnValue>:<indexAccess>,__ecma.Array,Correct,BUILTIN,_NOTES_
client/src/components/AdminBranch.js#L5,LOCAL,name,react:useState:<returnValue>:<indexAccess>,__ecma.String,Correct,BUILTIN,_NOTES_
client/src/components/AdminBranch.js#L6,LOCAL,house_no,react:useState:<returnValue>:<indexAccess>,__ecma.String,Correct,BUILTIN,_NOTES_
client/src/components/AdminBranch.js#L62,METHOD_PARAMETER_IN,e,ANY,__ecma.String,Incorrect,BUILTIN,Event
client/src/components/AdminBranch.js#L64,METHOD_PARAMETER_IN,e,ANY,__ecma.Number,Incorrect,BUILTIN,Event
client/src/components/AdminBranch.js#L66,METHOD_PARAMETER_IN,e,ANY,__ecma.Number,Incorrect,BUILTIN,Event
client/src/components/AdminBranch.js#L7,LOCAL,city,react:useState:<returnValue>:<indexAccess>,__ecma.String,Correct,BUILTIN,_NOTES_
client/src/components/AdminBranch.js#L8,LOCAL,zip_code,react:useState:<returnValue>:<indexAccess>,__ecma.String,Correct,BUILTIN,_NOTES_
client/src/components/AdminBranch.js#L9,METHOD_PARAMETER_IN,branch_id,ANY,__ecma.String,Incorrect,BUILTIN,Number
client/src/components/AdminCustomer.js#L10,LOCAL,zipcode,react:useState:<returnValue>:<indexAccess>,__ecma.String,Correct,BUILTIN,_NOTES_
client/src/components/AdminCustomer.js#L104,METHOD_PARAMETER_IN,customer,ANY,Customer,Useful,UDT,_NOTES_
client/src/components/AdminCustomer.js#L11,LOCAL,username,react:useState:<returnValue>:<indexAccess>,__ecma.String,Correct,BUILTIN,_NOTES_
client/src/components/AdminCustomer.js#L114,LOCAL,customer,ANY,Customer,Useful,UDT,_NOTES_
client/src/components/AdminCustomer.js#L12,LOCAL,password,react:useState:<returnValue>:<indexAccess>,__ecma.String,Correct,BUILTIN,_NOTES_
client/src/components/AdminCustomer.js#L14,METHOD_PARAMETER_IN,customer_id,ANY,__ecma.String,Incorrect,BUILTIN,Number
client/src/components/AdminCustomer.js#L23,LOCAL,customer_id,ANY,__ecma.String,Incorrect,BUILTIN,Number
client/src/components/AdminCustomer.js#L23,LOCAL,AllCustomers,react:useState:<returnValue>:<indexAccess>,__ecma.Array,Correct,BUILTIN,_NOTES_
client/src/components/AdminCustomer.js#L27,LOCAL,name,react:useState:<returnValue>:<indexAccess>,__ecma.String,Correct,BUILTIN,_NOTES_
