Location,Label,Target,OldType,NewType,Outcome,TypeCategory,Notes
Gruntfile.js#L-1,LOCAL,grunt,ANY,__ecma.String,INVALID,UDT,Some Grunt object
Gruntfile.js#L14,METHOD_PARAMETER_IN,grunt,ANY,__ecma.String,Incorrect,UDT,_NOTES_
Gruntfile.js#L158,METHOD_PARAMETER_IN,arg,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
Gruntfile.js#L159,LOCAL,finalEnv,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
Gruntfile.js#L167,METHOD_PARAMETER_IN,err,ANY,__ecma.Error,Correct,BUILTIN,_NOTES_
Gruntfile.js#L167,METHOD_PARAMETER_IN,stdout,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
Gruntfile.js#L167,METHOD_PARAMETER_IN,stderr,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
Gruntfile.js#L169,LOCAL,grunt,ANY,__ecma.String,Incorrect,UDT,_NOTES_
app/assets/js/tour/redirects-steps.js#L27,LOCAL,redirectsTour,ANY,__ecma.String,Incorrect,UDT,Tour
app/assets/js/tour/redirects-steps.js#L3,LOCAL,redirectsTour,ANY,__ecma.String,Incorrect,UDT,Tour
app/data/allocations-dao.js#L15,LOCAL,allocationsCol,ANY,Collection,Correct,UDT,_NOTES_
app/data/allocations-dao.js#L18,METHOD_PARAMETER_IN,userId,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
app/data/allocations-dao.js#L18,METHOD_PARAMETER_IN,stocks,ANY,__ecma.Array,Incorrect,BUILTIN,Number
app/data/allocations-dao.js#L18,METHOD_PARAMETER_IN,funds,ANY,__ecma.Array,Incorrect,BUILTIN,Number
app/data/allocations-dao.js#L18,METHOD_PARAMETER_IN,bonds,ANY,__ecma.Array,Incorrect,BUILTIN,Number
app/data/allocations-dao.js#L29,LOCAL,allocationsCol,ANY,Collection,Correct,UDT,_NOTES_
app/data/allocations-dao.js#L33,METHOD_PARAMETER_IN,err,ANY,__ecma.Error,Correct,BUILTIN,_NOTES_
app/data/allocations-dao.js#L39,METHOD_PARAMETER_IN,err,ANY,__ecma.Error,Correct,BUILTIN,_NOTES_
app/data/allocations-dao.js#L39,METHOD_PARAMETER_IN,user,ANY,User,Correct,UDT,_NOTES_
app/data/allocations-dao.js#L39,METHOD_PARAMETER_IN,err,ANY,__ecma.Error,Correct,BUILTIN,_NOTES_
app/data/allocations-dao.js#L39,LOCAL,userId,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
app/data/allocations-dao.js#L4,METHOD_PARAMETER_IN,db,ANY,Db,Incorrect,BUILTIN,String
app/data/allocations-dao.js#L44,LOCAL,userId,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
app/data/allocations-dao.js#L57,METHOD_PARAMETER_IN,userId,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
app/data/allocations-dao.js#L57,METHOD_PARAMETER_IN,threshold,ANY,__ecma.Number,Incorrect,BUILTIN,String
app/data/allocations-dao.js#L62,LOCAL,threshold,ANY,__ecma.Number,Incorrect,BUILTIN,String
app/data/allocations-dao.js#L86,METHOD_PARAMETER_IN,err,ANY,__ecma.Error,Correct,BUILTIN,_NOTES_
app/data/allocations-dao.js#L86,METHOD_PARAMETER_IN,allocations,ANY,__ecma.Array,Incorrect,UDT,Object
app/data/allocations-dao.js#L86,LOCAL,allocationsCol,ANY,Collection,Correct,UDT,_NOTES_
app/data/allocations-dao.js#L94,METHOD_PARAMETER_IN,err,ANY,__ecma.Error,Correct,BUILTIN,_NOTES_
app/data/allocations-dao.js#L94,METHOD_PARAMETER_IN,err,ANY,__ecma.Error,Correct,BUILTIN,_NOTES_
app/data/allocations-dao.js#L94,METHOD_PARAMETER_IN,user,ANY,User,Correct,UDT,_NOTES_
app/data/benefits-dao.js#L13,LOCAL,usersCol,ANY,Collection,Correct,UDT,_NOTES_
app/data/benefits-dao.js#L16,LOCAL,usersCol,ANY,Collection,Correct,UDT,_NOTES_
app/data/benefits-dao.js#L2,METHOD_PARAMETER_IN,db,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
app/data/benefits-dao.js#L20,METHOD_PARAMETER_IN,users,ANY,__ecma.Array,Correct,BUILTIN,_NOTES_
app/data/benefits-dao.js#L23,METHOD_PARAMETER_IN,userId,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
app/data/benefits-dao.js#L23,METHOD_PARAMETER_IN,startDate,ANY,__ecma.Date,Correct,BUILTIN,_NOTES_
app/data/benefits-dao.js#L24,LOCAL,usersCol,ANY,Collection,Correct,UDT,_NOTES_
app/data/benefits-dao.js#L31,METHOD_PARAMETER_IN,err,ANY,__ecma.Error,Correct,BUILTIN,_NOTES_
app/data/benefits-dao.js#L31,METHOD_PARAMETER_IN,result,ANY,__ecma.String,Incorrect,UDT,_NOTES_
app/data/contributions-dao.js#L-1,LOCAL,userId,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
app/data/contributions-dao.js#L14,LOCAL,contributionsDB,ANY,Collection,Correct,UDT,_NOTES_
app/data/contributions-dao.js#L17,METHOD_PARAMETER_IN,userId,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
app/data/contributions-dao.js#L17,METHOD_PARAMETER_IN,preTax,ANY,__ecma.Number,Correct,BUILTIN,_NOTES_
app/data/contributions-dao.js#L17,METHOD_PARAMETER_IN,afterTax,ANY,__ecma.Number,Correct,BUILTIN,_NOTES_
app/data/contributions-dao.js#L17,METHOD_PARAMETER_IN,roth,ANY,__ecma.Number,Correct,BUILTIN,_NOTES_
app/data/contributions-dao.js#L28,LOCAL,contributionsDB,ANY,Collection,Correct,UDT,_NOTES_
app/data/contributions-dao.js#L34,METHOD_PARAMETER_IN,err,ANY,__ecma.Error,Correct,BUILTIN,_NOTES_
app/data/contributions-dao.js#L38,METHOD_PARAMETER_IN,err,ANY,__ecma.Error,Correct,BUILTIN,_NOTES_
app/data/contributions-dao.js#L38,METHOD_PARAMETER_IN,err,ANY,__ecma.String,Incorrect,BUILTIN,_NOTES_
app/data/contributions-dao.js#L38,METHOD_PARAMETER_IN,user,ANY,User,Correct,UDT,_NOTES_
app/data/contributions-dao.js#L4,METHOD_PARAMETER_IN,db,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
app/data/contributions-dao.js#L45,LOCAL,userId,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
