Location,Label,Target,OldType,NewType,Outcome,TypeCategory,Notes
app.js#L122,METHOD_PARAMETER_IN,req,ANY,Request,Correct,UDT,_NOTES_
app.js#L122,METHOD_PARAMETER_IN,res,ANY,Response,Correct,UDT,_NOTES_
app.js#L34,LOCAL,app,express:<returnValue>,Express,Correct,UDT,_NOTES_
models/house.js#L31,LOCAL,houseSchema,mongoose:<member>(Schema),__ecma.Boolean,Incorrect,UDT,mongoose.Schema
routes/errors.js#L42,LOCAL,router,express:Router:<returnValue>,Router,Correct,UDT,_NOTES_
routes/errors.js#L58,METHOD_PARAMETER_IN,res,ANY,Response,Correct,UDT,_NOTES_
routes/errors.js#L66,METHOD_PARAMETER_IN,res,ANY,Response,Correct,UDT,_NOTES_
routes/errors.js#L74,METHOD_PARAMETER_IN,res,ANY,Response,Correct,UDT,_NOTES_
routes/events.js#L102,METHOD_PARAMETER_IN,req,ANY,NextApiRequest,Partial,UDT,_NOTES_
routes/events.js#L102,METHOD_PARAMETER_IN,res,ANY,NextApiResponse,Partial,UDT,_NOTES_
routes/events.js#L115,METHOD_PARAMETER_IN,err,ANY,__ecma.Error,Correct,BUILTIN,_NOTES_
routes/events.js#L115,METHOD_PARAMETER_IN,event,ANY,__ecma.String,Incorrect,UDT,Object
routes/events.js#L118,LOCAL,res,ANY,NextApiResponse,Partial,UDT,_NOTES_
routes/events.js#L120,LOCAL,name,event:name:<returnValue>:<member>(name),__ecma.String,Correct,BUILTIN,_NOTES_
routes/events.js#L131,METHOD_PARAMETER_IN,req,ANY,Request,Correct,UDT,_NOTES_
routes/events.js#L131,METHOD_PARAMETER_IN,res,ANY,Response,Correct,UDT,_NOTES_
routes/events.js#L144,METHOD_PARAMETER_IN,err,ANY,__ecma.Error,Correct,BUILTIN,_NOTES_
routes/events.js#L144,METHOD_PARAMETER_IN,event,ANY,__ecma.String,Incorrect,UDT,_NOTES_
routes/events.js#L147,LOCAL,res,ANY,Response,Correct,UDT,_NOTES_
routes/events.js#L165,METHOD_PARAMETER_IN,req,ANY,Request,Correct,UDT,_NOTES_
routes/events.js#L165,METHOD_PARAMETER_IN,res,ANY,Response,Correct,UDT,_NOTES_
routes/events.js#L175,METHOD_PARAMETER_IN,err,ANY,__ecma.Error,Correct,BUILTIN,_NOTES_
routes/events.js#L178,LOCAL,res,ANY,Response,Correct,UDT,_NOTES_
routes/events.js#L182,LOCAL,req,ANY,Request,Correct,UDT,_NOTES_
routes/events.js#L191,METHOD_PARAMETER_IN,req,ANY,NextApiRequest,Partial,UDT,_NOTES_
routes/events.js#L191,METHOD_PARAMETER_IN,res,ANY,NextApiResponse,Partial,UDT,_NOTES_
routes/events.js#L42,METHOD_PARAMETER_IN,res,ANY,Response,Correct,UDT,_NOTES_
routes/events.js#L48,METHOD_PARAMETER_IN,err,ANY,__ecma.Error,Correct,BUILTIN,_NOTES_
routes/events.js#L48,METHOD_PARAMETER_IN,events,ANY,__ecma.Array,Correct,BUILTIN,_NOTES_
routes/events.js#L52,LOCAL,res,ANY,Response,Correct,UDT,_NOTES_
routes/events.js#L69,METHOD_PARAMETER_IN,req,ANY,NextApiRequest,Partial,UDT,_NOTES_
routes/events.js#L69,METHOD_PARAMETER_IN,res,ANY,NextApiResponse,Partial,UDT,_NOTES_
routes/events.js#L88,LOCAL,res,ANY,NextApiResponse,Partial,UDT,_NOTES_
routes/houses.js#L24,LOCAL,router,express:Router:<returnValue>,Router,Correct,UDT,_NOTES_
routes/houses.js#L31,METHOD_PARAMETER_IN,res,ANY,Response,Correct,UDT,_NOTES_
routes/houses.js#L41,METHOD_PARAMETER_IN,err,ANY,__ecma.Error,Correct,BUILTIN,_NOTES_
routes/houses.js#L41,METHOD_PARAMETER_IN,houses,ANY,__ecma.Array,Correct,BUILTIN,_NOTES_
routes/houses.js#L44,LOCAL,res,ANY,Response,Correct,UDT,_NOTES_
routes/index.js#L104,METHOD_PARAMETER_IN,req,ANY,NextApiRequest,Partial,UDT,_NOTES_
routes/index.js#L104,METHOD_PARAMETER_IN,res,ANY,NextApiResponse,Partial,UDT,_NOTES_
routes/index.js#L115,METHOD_PARAMETER_IN,err,ANY,__ecma.Error,Correct,BUILTIN,_NOTES_
routes/index.js#L125,LOCAL,res,ANY,NextApiResponse,Partial,UDT,_NOTES_
routes/index.js#L136,LOCAL,res,ANY,NextApiResponse,Partial,UDT,_NOTES_
routes/index.js#L149,METHOD_PARAMETER_IN,req,ANY,NextApiRequest,Partial,UDT,_NOTES_
routes/index.js#L149,METHOD_PARAMETER_IN,res,ANY,NextApiResponse,Partial,UDT,_NOTES_
routes/index.js#L163,METHOD_PARAMETER_IN,res,ANY,Response,Correct,UDT,_NOTES_
routes/index.js#L168,METHOD_PARAMETER_IN,req,ANY,Request,Correct,UDT,_NOTES_
routes/index.js#L168,METHOD_PARAMETER_IN,res,ANY,Response,Correct,UDT,_NOTES_
routes/index.js#L26,LOCAL,router,express:Router:<returnValue>,Router,Correct,UDT,_NOTES_
routes/index.js#L39,METHOD_PARAMETER_IN,res,ANY,Response,Correct,UDT,_NOTES_
routes/index.js#L46,METHOD_PARAMETER_IN,res,ANY,__ecma.String,Incorrect,UDT,_NOTES_
routes/index.js#L59,METHOD_PARAMETER_IN,res,ANY,Response,Correct,UDT,_NOTES_
routes/index.js#L71,METHOD_PARAMETER_IN,res,ANY,Response,Correct,UDT,_NOTES_
routes/index.js#L94,METHOD_PARAMETER_IN,res,ANY,Response,Correct,UDT,_NOTES_
scripts/seeds.js#L104,METHOD_PARAMETER_IN,house,ANY,House,Correct,UDT,mongoose.Schema('House')
scripts/seeds.js#L104,METHOD_PARAMETER_IN,err,ANY,__ecma.Error,Correct,BUILTIN,_NOTES_
scripts/seeds.js#L122,METHOD_PARAMETER_IN,err,ANY,__ecma.Error,Correct,BUILTIN,_NOTES_
scripts/seeds.js#L129,LOCAL,house,ANY,House,Correct,UDT,_NOTES_
scripts/seeds.js#L131,METHOD_PARAMETER_IN,err,ANY,__ecma.Error,Correct,BUILTIN,_NOTES_
scripts/seeds.js#L131,METHOD_PARAMETER_IN,err,ANY,__ecma.String,Incorrect,BUILTIN,_NOTES_
scripts/seeds.js#L140,LOCAL,house,ANY,House,Correct,UDT,_NOTES_
scripts/seeds.js#L81,METHOD_PARAMETER_IN,err,ANY,__ecma.Error,Correct,BUILTIN,_NOTES_
scripts/seeds.js#L90,METHOD_PARAMETER_IN,err,ANY,__ecma.Error,Correct,BUILTIN,_NOTES_
scripts/totalPointsCalculator.js#L-1,LOCAL,events,ANY,__ecma.Array,Correct,BUILTIN,_NOTES_
scripts/totalPointsCalculator.js#L101,LOCAL,events,ANY,__ecma.Array,Correct,BUILTIN,_NOTES_
scripts/totalPointsCalculator.js#L132,METHOD_PARAMETER_IN,err,ANY,__ecma.String,Incorrect,BUILTIN,_NOTES_
scripts/totalPointsCalculator.js#L132,METHOD_PARAMETER_IN,res,ANY,__ecma.String,Incorrect,UDT,_NOTES_
scripts/totalPointsCalculator.js#L132,METHOD_PARAMETER_IN,err,ANY,__ecma.Error,Correct,BUILTIN,_NOTES_
scripts/totalPointsCalculator.js#L163,METHOD_PARAMETER_IN,err,ANY,__ecma.String,Incorrect,BUILTIN,_NOTES_
scripts/totalPointsCalculator.js#L163,METHOD_PARAMETER_IN,res,ANY,__ecma.String,Incorrect,UDT,_NOTES_
scripts/totalPointsCalculator.js#L163,METHOD_PARAMETER_IN,err,ANY,__ecma.Error,Correct,BUILTIN,_NOTES_
scripts/totalPointsCalculator.js#L190,METHOD_PARAMETER_IN,err,ANY,__ecma.Error,Correct,BUILTIN,_NOTES_
scripts/totalPointsCalculator.js#L190,METHOD_PARAMETER_IN,err,ANY,__ecma.String,Incorrect,BUILTIN,_NOTES_
scripts/totalPointsCalculator.js#L190,METHOD_PARAMETER_IN,res,ANY,__ecma.String,Incorrect,UDT,_NOTES_
scripts/totalPointsCalculator.js#L217,METHOD_PARAMETER_IN,err,ANY,__ecma.Error,Correct,BUILTIN,_NOTES_
scripts/totalPointsCalculator.js#L217,METHOD_PARAMETER_IN,err,ANY,__ecma.String,Incorrect,BUILTIN,_NOTES_
scripts/totalPointsCalculator.js#L217,METHOD_PARAMETER_IN,res,ANY,__ecma.String,Incorrect,UDT,_NOTES_
scripts/totalPointsCalculator.js#L69,METHOD_PARAMETER_IN,err,ANY,__ecma.Error,Correct,BUILTIN,_NOTES_
scripts/totalPointsCalculator.js#L69,METHOD_PARAMETER_IN,events,ANY,__ecma.Array,Correct,BUILTIN,_NOTES_
scripts/totalPointsCalculator.js#L81,METHOD_PARAMETER_IN,houses,ANY,__ecma.Array,Correct,BUILTIN,_NOTES_
