Location,Label,Target,OldType,NewType,Outcome,TypeCategory,Notes
app.js#L11,LOCAL,app,express:<returnValue>,Express,Correct,UDT,_NOTES_
app.js#L22,METHOD_PARAMETER_IN,req,ANY,Request,Correct,UDT,_NOTES_
app.js#L38,LOCAL,app,express:<returnValue>,Express,Correct,UDT,_NOTES_
controllers/admin.js#L100,LOCAL,res,ANY,Response,Correct,UDT,_NOTES_
controllers/admin.js#L14,METHOD_PARAMETER_IN,req,ANY,Request,Correct,UDT,_NOTES_
controllers/admin.js#L14,METHOD_PARAMETER_IN,res,ANY,Response,Correct,UDT,_NOTES_
controllers/admin.js#L15,LOCAL,title,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
controllers/admin.js#L16,LOCAL,imageUrl,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
controllers/admin.js#L17,LOCAL,price,ANY,__ecma.Number,Correct,BUILTIN,_NOTES_
controllers/admin.js#L18,LOCAL,description,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
controllers/admin.js#L33,LOCAL,res,ANY,Response,Correct,UDT,_NOTES_
controllers/admin.js#L38,METHOD_PARAMETER_IN,req,ANY,Request,Correct,UDT,_NOTES_
controllers/admin.js#L38,METHOD_PARAMETER_IN,res,ANY,Response,Correct,UDT,_NOTES_
controllers/admin.js#L39,LOCAL,editMode,ANY,__ecma.String,Incorrect,BUILTIN,Boolean
controllers/admin.js#L44,LOCAL,prodId,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
controllers/admin.js#L46,METHOD_PARAMETER_IN,product,ANY,Product,Correct,UDT,_NOTES_
controllers/admin.js#L48,LOCAL,res,ANY,Response,Correct,UDT,_NOTES_
controllers/admin.js#L53,LOCAL,editMode,ANY,__ecma.String,Incorrect,BUILTIN,Boolean
controllers/admin.js#L6,METHOD_PARAMETER_IN,res,ANY,Response,Correct,UDT,_NOTES_
controllers/admin.js#L60,METHOD_PARAMETER_IN,req,ANY,Request,Correct,UDT,_NOTES_
controllers/admin.js#L60,METHOD_PARAMETER_IN,res,ANY,Response,Correct,UDT,_NOTES_
controllers/admin.js#L61,LOCAL,prodId,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
controllers/admin.js#L62,LOCAL,updatedTitle,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
controllers/admin.js#L63,LOCAL,updatedImageUrl,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
controllers/admin.js#L64,LOCAL,updatedPrice,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
controllers/admin.js#L65,LOCAL,updatedDescription,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
controllers/admin.js#L81,LOCAL,res,ANY,Response,Correct,UDT,_NOTES_
controllers/admin.js#L86,METHOD_PARAMETER_IN,req,ANY,Request,Correct,UDT,_NOTES_
controllers/admin.js#L86,METHOD_PARAMETER_IN,res,ANY,Response,Correct,UDT,_NOTES_
controllers/admin.js#L87,LOCAL,prodId,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
controllers/admin.js#L92,LOCAL,res,ANY,Response,Correct,UDT,_NOTES_
controllers/admin.js#L97,METHOD_PARAMETER_IN,res,ANY,Response,Correct,UDT,_NOTES_
controllers/error.js#L1,METHOD_PARAMETER_IN,res,ANY,Response,Correct,UDT,_NOTES_
controllers/shop.js#L15,METHOD_PARAMETER_IN,req,ANY,Request,Correct,UDT,_NOTES_
controllers/shop.js#L15,METHOD_PARAMETER_IN,res,ANY,Response,Correct,UDT,_NOTES_
controllers/shop.js#L16,LOCAL,prodId,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
controllers/shop.js#L20,LOCAL,res,ANY,Response,Correct,UDT,_NOTES_
controllers/shop.js#L29,METHOD_PARAMETER_IN,res,ANY,Response,Correct,UDT,_NOTES_
controllers/shop.js#L3,METHOD_PARAMETER_IN,res,ANY,Response,Correct,UDT,_NOTES_
controllers/shop.js#L32,LOCAL,res,ANY,Response,Correct,UDT,_NOTES_
controllers/shop.js#L41,METHOD_PARAMETER_IN,req,ANY,Request,Correct,UDT,_NOTES_
controllers/shop.js#L41,METHOD_PARAMETER_IN,res,ANY,Response,Correct,UDT,_NOTES_
controllers/shop.js#L45,LOCAL,res,ANY,Response,Correct,UDT,_NOTES_
controllers/shop.js#L55,METHOD_PARAMETER_IN,req,ANY,Request,Correct,UDT,_NOTES_
controllers/shop.js#L55,METHOD_PARAMETER_IN,res,ANY,Response,Correct,UDT,_NOTES_
controllers/shop.js#L56,LOCAL,prodId,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
controllers/shop.js#L59,METHOD_PARAMETER_IN,product,ANY,Product,Correct,UDT,_NOTES_
controllers/shop.js#L6,LOCAL,res,ANY,Response,Correct,UDT,_NOTES_
controllers/shop.js#L60,LOCAL,req,ANY,Request,Correct,UDT,_NOTES_
controllers/shop.js#L64,LOCAL,res,ANY,Response,Correct,UDT,_NOTES_
controllers/shop.js#L69,METHOD_PARAMETER_IN,req,ANY,Request,Correct,UDT,_NOTES_
controllers/shop.js#L69,METHOD_PARAMETER_IN,res,ANY,Response,Correct,UDT,_NOTES_
controllers/shop.js#L70,LOCAL,prodId,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
controllers/shop.js#L74,LOCAL,res,ANY,Response,Correct,UDT,_NOTES_
controllers/shop.js#L79,METHOD_PARAMETER_IN,req,ANY,Request,Correct,UDT,_NOTES_
controllers/shop.js#L79,METHOD_PARAMETER_IN,res,ANY,Response,Correct,UDT,_NOTES_
controllers/shop.js#L83,LOCAL,res,ANY,Response,Correct,UDT,_NOTES_
controllers/shop.js#L92,METHOD_PARAMETER_IN,req,ANY,Request,Correct,UDT,_NOTES_
controllers/shop.js#L92,METHOD_PARAMETER_IN,res,ANY,Response,Correct,UDT,_NOTES_
controllers/shop.js#L96,LOCAL,res,ANY,Response,Correct,UDT,_NOTES_
models/product.js#L26,LOCAL,dbOp,ANY,__ecma.Promise,Incorrect,BUILTIN,Query
models/product.js#L59,METHOD_PARAMETER_IN,products,ANY,__ecma.Array,Correct,BUILTIN,_NOTES_
models/product.js#L7,METHOD_PARAMETER_IN,title,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
models/product.js#L7,METHOD_PARAMETER_IN,price,ANY,__ecma.Number,Correct,BUILTIN,_NOTES_
models/product.js#L7,METHOD_PARAMETER_IN,description,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
models/product.js#L7,METHOD_PARAMETER_IN,imageUrl,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
models/product.js#L7,METHOD_PARAMETER_IN,id,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
models/product.js#L7,METHOD_PARAMETER_IN,userId,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
models/product.js#L71,METHOD_PARAMETER_IN,prodId,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
models/product.js#L80,METHOD_PARAMETER_IN,product,ANY,Product,Correct,UDT,_NOTES_
models/product.js#L90,METHOD_PARAMETER_IN,prodId,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
models/user.js#L122,METHOD_PARAMETER_IN,products,ANY,__ecma.Array,Correct,BUILTIN,_NOTES_
models/user.js#L144,METHOD_PARAMETER_IN,userId,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
models/user.js#L149,METHOD_PARAMETER_IN,user,ANY,User,Correct,UDT,_NOTES_
models/user.js#L19,METHOD_PARAMETER_IN,product,ANY,Product,Correct,UDT,_NOTES_
models/user.js#L22,LOCAL,product,ANY,Product,Correct,UDT,_NOTES_
models/user.js#L7,METHOD_PARAMETER_IN,username,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
models/user.js#L7,METHOD_PARAMETER_IN,email,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
models/user.js#L7,METHOD_PARAMETER_IN,cart,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
models/user.js#L7,METHOD_PARAMETER_IN,id,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
models/user.js#L70,LOCAL,productIds,ANY,__ecma.Array,Correct,BUILTIN,_NOTES_
models/user.js#L70,METHOD_PARAMETER_IN,i,ANY,ProductId,Incorrect,UDT,Product
models/user.js#L80,METHOD_PARAMETER_IN,products,ANY,__ecma.Array,Correct,BUILTIN,_NOTES_
models/user.js#L82,METHOD_PARAMETER_IN,p,ANY,Product,Correct,UDT,_NOTES_
models/user.js#L86,LOCAL,p,ANY,Product,Correct,UDT,_NOTES_
models/user.js#L95,METHOD_PARAMETER_IN,productId,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
models/user.js#L97,LOCAL,productId,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
routes/admin.js#L7,LOCAL,router,express:Router:<returnValue>,__ecma.String,Incorrect,BUILTIN,Router
routes/shop.js#L7,LOCAL,router,express:Router:<returnValue>,__ecma.String,Incorrect,BUILTIN,Router
util/database.js#L12,LOCAL,MongoClient,mongodb:<member>(MongoClient),MongoClient,Correct,UDT,_NOTES_
util/database.js#L2,LOCAL,MongoClient,mongodb:<member>(MongoClient),MongoClient,Correct,UDT,_NOTES_
