Location,Label,Target,OldType,NewType,Outcome,TypeCategory,Notes
src/pattern.js#L-1,LOCAL,roundedPoints,ANY,__ecma.Array,INVALID,BUILTIN,_NOTES_
src/pattern.js#L10,LOCAL,elem,ANY,Element,Correct,BUILTIN,_NOTES_
src/pattern.js#L12,METHOD_PARAMETER_IN,c,ANY,Element,Correct,BUILTIN,_NOTES_
src/pattern.js#L12,LOCAL,elem,ANY,Element,Correct,BUILTIN,_NOTES_
src/pattern.js#L128,METHOD_PARAMETER_IN,poly,ANY,Poly,Useful,UDT,Is really a custom object
src/pattern.js#L128,METHOD_PARAMETER_IN,fill,ANY,Color,Correct,UDT,https://github.com/gka/chroma.js/blob/main/src/Color.js
src/pattern.js#L128,METHOD_PARAMETER_IN,stroke,ANY,Color,Incorrect,UDT,Object
src/pattern.js#L129,LOCAL,vertexIndices,void:<member>(vertexIndices),__ecma.Array,Correct,BUILTIN,_NOTES_
src/pattern.js#L132,LOCAL,points,src/pattern.js::program:<member>(points),__ecma.Array,Correct,BUILTIN,_NOTES_
src/pattern.js#L26,METHOD_PARAMETER_IN,tagName,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
src/pattern.js#L26,METHOD_PARAMETER_IN,children,ANY,__ecma.String,Incorrect,BUILTIN,Array
src/pattern.js#L30,LOCAL,tagName,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
src/pattern.js#L30,LOCAL,children,ANY,__ecma.String,Incorrect,BUILTIN,Array
src/pattern.js#L34,METHOD_PARAMETER_IN,points,ANY,__ecma.Array,Correct,BUILTIN,_NOTES_
src/pattern.js#L34,METHOD_PARAMETER_IN,polys,ANY,__ecma.Array,Correct,BUILTIN,_NOTES_
src/pattern.js#L40,METHOD_PARAMETER_IN,serializer,ANY,__ecma.String,Incorrect,BUILTIN,Function
src/pattern.js#L40,METHOD_PARAMETER_IN,destSVG,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
src/pattern.js#L44,LOCAL,points,src/pattern.js::program:<member>(points),__ecma.Array,Correct,BUILTIN,_NOTES_
src/pattern.js#L44,LOCAL,polys,src/pattern.js::program:<member>(polys),__ecma.Array,Correct,BUILTIN,_NOTES_
src/pattern.js#L45,LOCAL,width,__ecma.Boolean:<member>(width),__ecma.Number,Correct,BUILTIN,_NOTES_
src/pattern.js#L45,LOCAL,height,__ecma.Boolean:<member>(height),__ecma.Number,Correct,BUILTIN,_NOTES_
src/pattern.js#L49,LOCAL,roundedPoints,ANY,__ecma.Array,Correct,BUILTIN,_NOTES_
src/pattern.js#L50,METHOD_PARAMETER_IN,p,ANY,__ecma.Array,Correct,BUILTIN,_NOTES_
src/pattern.js#L53,LOCAL,paths,src/pattern.js::program:<member>(polys):map:<returnValue>,__ecma.Array,Correct,BUILTIN,_NOTES_
src/pattern.js#L53,METHOD_PARAMETER_IN,poly,ANY,Poly,Useful,UDT,_NOTES_
src/pattern.js#L54,LOCAL,roundedPoints,ANY,__ecma.Array,Correct,BUILTIN,_NOTES_
src/pattern.js#L54,LOCAL,xys,ANY,__ecma.String,Incorrect,BUILTIN,Array
src/pattern.js#L7,METHOD_PARAMETER_IN,tagName,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
src/pattern.js#L7,METHOD_PARAMETER_IN,children,ANY,__ecma.Array,Correct,BUILTIN,_NOTES_
src/pattern.js#L7,METHOD_PARAMETER_IN,existingRoot,ANY,Element,Correct,UDT,_NOTES_
src/pattern.js#L8,LOCAL,elem,ANY,Element,Correct,UDT,_NOTES_
src/pattern.js#L84,METHOD_PARAMETER_IN,svgOpts,ANY,SvgOptions,Useful,UDT,_NOTES_
src/pattern.js#L87,METHOD_PARAMETER_IN,destSVG,ANY,__ecma.String,Correct,BUILTIN,_NOTES_
src/pattern.js#L88,METHOD_PARAMETER_IN,svgOpts,ANY,SVGAttributes,Useful,UDT,_NOTES_
src/pattern.js#L90,METHOD_PARAMETER_IN,destCanvas,ANY,HTMLCanvasElement,Correct,BUILTIN,_NOTES_
src/pattern.js#L96,LOCAL,points,src/pattern.js::program:<member>(points),__ecma.Array,Correct,BUILTIN,_NOTES_
src/pattern.js#L96,LOCAL,polys,src/pattern.js::program:<member>(polys),__ecma.Array,Correct,BUILTIN,_NOTES_
src/trianglify.js#L115,METHOD_PARAMETER_IN,i,ANY,__ecma.Number,Correct,BUILTIN,_NOTES_
src/trianglify.js#L123,LOCAL,color,{ width: __ecma.Number; height: __ecma.Number; cellSize: __ecma.Number; variance: __ecma.Number; seed: ANY; xColors: __ecma.String; yColors: __ecma.String; palette: { YlGn: __ecma.String[]; YlGnBu: __ecma.String[]; GnBu: __ecma.String[]; BuGn: __ecma.String[]; PuBuGn: __ecma.String[]; PuBu: __ecma.String[]; BuPu: __ecma.String[]; RdPu: __ecma.String[]; PuRd: __ecma.String[]; OrRd: __ecma.String[]; YlOrRd: __ecma.String[]; YlOrBr: __ecma.String[]; Purples: __ecma.String[]; Blues: __ecma.String[]; Greens: __ecma.String[]; Oranges: __ecma.String[]; Reds: __ecma.String[]; Greys: __ecma.String[]; PuOr: __ecma.String[]; BrBG: __ecma.String[]; PRGn: __ecma.String[]; PiYG: __ecma.String[]; RdBu: __ecma.String[]; RdGy: __ecma.String[]; RdYlBu: __ecma.String[]; Spectral: __ecma.String[]; RdYlGn: __ecma.String[]; }; colorSpace: __ecma.String; colorFunction: ({ xPercent,__ecma.String,Incorrect,UDT,Color
src/trianglify.js#L147,LOCAL,variance,{ width: __ecma.Number; height: __ecma.Number; cellSize: __ecma.Number; variance: __ecma.Number; seed: ANY; xColors: __ecma.String; yColors: __ecma.String; palette: { YlGn: __ecma.String[]; YlGnBu: __ecma.String[]; GnBu: __ecma.String[]; BuGn: __ecma.String[]; PuBuGn: __ecma.String[]; PuBu: __ecma.String[]; BuPu: __ecma.String[]; RdPu: __ecma.String[]; PuRd: __ecma.String[]; OrRd: __ecma.String[]; YlOrRd: __ecma.String[]; YlOrBr: __ecma.String[]; Purples: __ecma.String[]; Blues: __ecma.String[]; Greens: __ecma.String[]; Oranges: __ecma.String[]; Reds: __ecma.String[]; Greys: __ecma.String[]; PuOr: __ecma.String[]; BrBG: __ecma.String[]; PRGn: __ecma.String[]; PiYG: __ecma.String[]; RdBu: __ecma.String[]; RdGy: __ecma.String[]; RdYlBu: __ecma.String[]; Spectral: __ecma.String[]; RdYlGn: __ecma.String[]; }; colorSpace: __ecma.String; colorFunction: ({ xPercent,__ecma.Number,Correct,BUILTIN,_NOTES_
src/trianglify.js#L167,LOCAL,points,ANY,__ecma.Array,Correct,BUILTIN,_NOTES_
src/trianglify.js#L167,METHOD_PARAMETER_IN,i,ANY,__ecma.Number,Correct,BUILTIN,_NOTES_
src/trianglify.js#L71,METHOD_PARAMETER_IN,colorOpt,ANY,__ecma.String,Correct,BUILTIN,Could also be array
src/utils/colorFunctions.js#L27,LOCAL,a,src/utils/colorFunctions.js::program:xScale:<returnValue>,__ecma.Number,Correct,BUILTIN,_NOTES_
